conversation_name,num_chunks,avg_distance,median_distance,min_distance,max_distance
0DD55529_DNDEV - Login Credentials,5,1.0972495317459106,1.0992199182510376,1.060736894607544,1.1289235353469849
0DDC74FC_DNEXT Platform _ sugar lineups access,5,0.8764896750450134,0.9403093457221985,0.6214890480041504,1.008188247680664
0E3EC6F1_DNEXT - Login Credentials,5,0.9943078041076661,0.9992985725402832,0.9410355091094971,1.0345743894577026
0E8E93FC_DNEXT - Login Credentials,5,1.0101264715194702,1.0223934650421143,0.9496343731880188,1.0513126850128174
0E986C90_DNEXT ACCOUNT CREATION,5,1.262568712234497,1.2583558559417725,1.2043712139129639,1.3328341245651245
0EB16A39_DNEXT - Login Credentials,5,1.045921301841736,1.0550130605697632,0.958191990852356,1.0971540212631226
0EBBCE16_RE_ [EXTERNAL] DCS-845 historical CNF,5,0.9259444236755371,0.932305097579956,0.8936495184898376,0.9684759378433228
0EC7029F_RE_ Demo4 access,5,1.0953645706176758,1.0656782388687134,0.9759126901626587,1.2858870029449463
0F08479E_RE_ Training Session with Agrorodeo,5,1.3200093746185302,1.31715726852417,1.2743566036224365,1.3481554985046387
0F6D8CF2_RE_ [EXTERNAL] RE_ wheat balance sheet,5,1.014280343055725,1.0191223621368408,0.9515416622161865,1.0804226398468018
1033A167_RE_ [EXTERNAL] RE_ Unexpected api behaviour recent,5,1.0744093894958495,1.1521705389022827,0.7619032859802246,1.1622074842453003
10FB1415_Setup New client_ - Adecoagro,5,1.2435468673706054,1.2274479866027832,1.180626630783081,1.3134065866470337
119EB981_RE_ Request for removing dataset,5,1.326798915863037,1.3192322254180908,1.3062753677368164,1.3581656217575073
11BE4697_RE_ add user to enerfo,5,1.248821759223938,1.2584736347198486,1.2295809984207153,1.2654638290405273
123658BE_RE_ [EXTERNAL] RE_ Scrapping South Africa Deliveri,5,1.206810212135315,1.2098959684371948,1.1725033521652222,1.2315858602523804
1259AA6C_RE_ URGENT - Indonesia lineups,5,0.9953076720237732,0.9963270425796509,0.9685376286506653,1.014232873916626
1397422F_FW_ Rice exports from India by Destination,5,1.1830590486526489,1.1758332252502441,1.081892967224121,1.2548627853393555
140EF0C1_Re_ New user ETG,5,1.3582245349884032,1.3878798484802246,1.2438229322433472,1.4063661098480225
141002B1_RE_ Element Alpha - End of contract 31.01.2025,5,1.280151104927063,1.2764232158660889,1.2523541450500488,1.3154642581939697
14574F09_RE_ New user - dnexr,5,1.2369316816329956,1.2421377897262573,1.205117106437683,1.2688910961151123
148CE452_RE_ Indonesia palm oil lineup dataset,5,1.088955283164978,1.0932211875915527,1.047370433807373,1.1181923151016235
14AFAF47_RE_ DNEXT - Login Credentials,5,1.0864295721054078,1.070563554763794,1.0217952728271484,1.1507982015609741
14CFC800_$499! Chance to list on VinDAX & other 4 CMC excha,5,1.4150166034698486,1.440273404121399,1.3132117986679077,1.4493966102600098
14DAFDBB_Login Credentials,5,0.9484610795974732,0.9665958881378174,0.8682949542999268,0.9755783677101135
14EBAD93_Re_ DCS-1669 RE_ Adjustments to the DNext BF Envir,5,1.0556668519973755,1.0762661695480347,0.9983036518096924,1.0981531143188477
15132794_DNEXT - Login Credentials,5,1.0101417779922486,1.0224536657333374,0.9496980905532837,1.0513474941253662
1536F673_Re_ STAGE - Login Credentials,5,1.245993423461914,1.2411880493164062,1.198007345199585,1.3069684505462646
15735A82_DNEXT - Login Credentials,5,0.9528810024261475,0.956031322479248,0.8842875957489014,1.035256028175354
15D8D5A6_RE_ New demo account for Enesel,5,1.2138380765914918,1.1603924036026,1.1471397876739502,1.3297233581542969
15E5DC12_RE_ DropBox again,5,1.090465784072876,1.1754075288772583,0.8893215656280518,1.193808674812317
16C1163E_RE_ Request to Delete Datasets,5,1.2994490146636963,1.296058177947998,1.2743701934814453,1.3393170833587646
16F3A9D2_RE_ Verus - Add Sugar,5,1.2490933656692504,1.2386045455932617,1.2143758535385132,1.2800042629241943
17A29162_RE_ VAM stop vegoils,5,1.3066848754882812,1.3137153387069702,1.2211943864822388,1.3808393478393555
18FAAA90_Re_ Create new environments,5,1.233490538597107,1.2485361099243164,1.131961703300476,1.2744370698928833
1A49F2C2_Login Credentials,5,1.2279844522476195,1.2304859161376953,1.175423502922058,1.264747142791748
1AEA0233_RE_ Amaggi email,5,1.4207696914672852,1.42116117477417,1.4151835441589355,1.430228590965271
1B38D053_Re_ dataset deleting reques,5,1.2924886703491212,1.2976605892181396,1.2752715349197388,1.3003275394439697
1BA2DD25_RE_ Request for removing dataset,5,1.2328777551651,1.248110294342041,1.189625859260559,1.2601566314697266
1BBAC6A2_RE_ Country Codes,5,1.0337291598320006,1.1180555820465088,0.583262026309967,1.189651370048523
1BE9E2FE_DNEXT - Login Credentials,5,0.9494048714637756,0.9614389538764954,0.8525812029838562,1.047001838684082
1CE0FB4B_RE_ DL-RAIZEN amendment,5,1.4906968593597412,1.4929072856903076,1.4783666133880615,1.5001975297927856
1CEC423C_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
1D99AC0E_Login Credentials,5,1.1302056074142457,1.1280709505081177,1.1049882173538208,1.1589791774749756
1DAE8007_DNEXT - Login Credentials,5,1.059534740447998,1.0628708600997925,1.00968599319458,1.0837070941925049
1DC17DD9_dataset update,5,1.0817091703414916,1.1094419956207275,1.0192586183547974,1.1330353021621704
1DC35B4B_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
1DD6EA4B_Access to DNEXR and Stage,5,1.1459474205970763,1.1862996816635132,0.9345206618309021,1.2282397747039795
1DD7F48E_RE_ Access to graincorp,5,1.182733154296875,1.1883891820907593,1.1262993812561035,1.2209138870239258
1E008498_Login Credentials,5,1.0279188394546508,1.0331919193267822,0.9569345712661743,1.079593300819397
1E376FB4_Access to masoceans,5,1.2437589406967162,1.2688632011413574,1.0896459817886353,1.3134888410568237
1E51C9AC_Re_ Customs calendar is empty,5,1.1003110766410829,1.1971701383590698,0.6923256516456604,1.2682112455368042
1E7FE069_Re_ Paraguay customs,5,0.945465624332428,1.0111052989959717,0.6349031329154968,1.0795663595199585
1EA6FC70_RE_ Switch DNEXT accounts between users,5,1.2535677671432495,1.2510795593261719,1.180943250656128,1.3216516971588135
1EB274BA_DNEXT - Login Credentials,5,1.1488557815551759,1.142590045928955,1.1217132806777954,1.1806111335754395
1F1C9D9E_RE_ New email address in futures client,5,1.4158156394958497,1.424730896949768,1.3869223594665527,1.432875633239746
1F4D6745_DNEXT - Login Credentials,5,0.9750413417816162,0.9715718030929565,0.9232096672058105,1.0338691473007202
1FF847A0_RE_ DL-POLARSTAR,5,1.4717473268508912,1.4743249416351318,1.453201174736023,1.479294776916504
20217A5D_RE_ Delete Dataset,5,1.1860681295394897,1.1806583404541016,1.17531156539917,1.2088537216186523
20B637D6_Re_ data problem,5,1.082099437713623,1.0880422592163086,1.019834041595459,1.11360502243042
20D2C89D_Fw_ Delete Old Unica Datasets,5,1.0983688592910767,1.097049355506897,1.0821644067764282,1.1186414957046509
20F64CA5_RE_ DNEXT Excel add in set up,5,1.0674560785293579,1.0683633089065552,0.8891493082046509,1.1731467247009277
221A434A_RE_ MATIF COT,5,1.0885106801986695,1.0724406242370605,1.0557693243026733,1.133955955505371
23626F29_RE_ Intertek - Snowflake Access,5,1.2782810926437378,1.2534620761871338,1.2454004287719727,1.336429476737976
236592C9_Re_ Action Required_ Refresh Your Microsoft Token,5,1.174148678779602,1.213776707649231,1.005871295928955,1.2436819076538086
236AB919_Re_ China Domestic & Import Prices,5,1.0364083766937255,1.015582799911499,0.9197642803192139,1.1374303102493286
2387C085_RE_ Access to dropbox,5,1.105529499053955,1.1470986604690552,0.9230767488479614,1.2388055324554443
241F44F3_DNEXT - Login Credentials,5,0.9943605184555053,0.9992272853851318,0.9410472512245178,1.0349478721618652
24379918_New access,5,1.2242812633514404,1.2902568578720093,1.0100282430648804,1.302781581878662
2438EF0A_RE_ Adding new colleague,5,1.2945324182510376,1.341886281967163,1.13691246509552,1.3449825048446655
247B7450_RE_ Setup Env Massar,5,1.2114445924758912,1.20296049118042,1.148493766784668,1.3059020042419434
24E77EC6_Re_ New client in Datahub Env,5,1.0642979264259338,1.0627638101577759,0.9788908362388611,1.118349552154541
25D67BF8_Login Credentials,5,0.9144268870353699,0.9401372671127319,0.8429768085479736,0.9596652388572693
